Computer | atavistic      | computer
Human    | cox            | computer
Computer | proton         | computer
Computer | cyclopean      | computer
Human    | sub            | computer
Computer | abs            | human
Computer | arm            | computer
Computer | lyre           | computer
Human    | fax            | computer
Computer | fun            | human
Human    | cox            | human
Computer | judgement      | computer
Human    | why            | computer
Computer | run            | human
Human    | vex            | computer
Computer | defeat         | computer
Human    | cox            | computer
Computer | victor         | computer
Computer | quiz           | human
Human    | sow            | computer
Computer | quiz           | computer
Human    | paw            | computer
